testcase_id,comment_text,expected_message,expected_result
TC-008-001,hihihihihihihiihiihiihii,Warning: Comment Text must be between 25 and 1000 characters!,fail
TC-008-002,hihihihihihihiihiihiihiii,Thank you for your comment. It has been submitted to the webmaster for approval.,success
TC-008-003,hihihihihihihiihiihiihiiii,Thank you for your comment. It has been submitted to the webmaster for approval.,success
TC-008-004,this is exactly 512 characters.this is exactly 512 characters.this is exactly 512 characters.this is exactly 512 characters.this is exactly 512 characters.this is exactly 512 characters.this is exactly 512 characters.this is exactly 512 characters.this is exactly 512 characters.this is exactly 512 characters.this is exactly 512 characters.this is exactly 512 characters.this is exactly 512 characters.this is exactly 512 characters.this is exactly 512 characters.this is exactly 512 characters.this is exactly2,Thank you for your comment. It has been submitted to the webmaster for approval.,success
TC-008-005,this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is exactly 999 characters.this is,Thank you for your comment. It has been submitted to the webmaster for approval.,success
TC-008-006,this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is exactly 1000 characters.this is2,Thank you for your comment. It has been submitted to the webmaster for approval.,success
TC-008-007,this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is exactly 1001 characters.this is e,Warning: Comment Text must be between 25 and 1000 characters!,fail
TC-008-008-TC-008-009,,Warning: Comment Text must be between 25 and 1000 characters!,success
TC-008-010,                              ,Comment cannot be empty.,fail
TC-008-011,###$$$%%%***!###$$$%%%***!###$$$%%%***!@,Thank you for your comment. It has been submitted to the webmaster for approval.,success
TC-008-012,alert('this is a XSS hihiihihihihihihihihiii'),Thank you for your comment. It has been submitted to the webmaster for approval.,success
TC-008-013,this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly 9999 characters.this is exactly,Thank you for your comment. It has been submitted to the webmaster for approval.,success
